iter	Passed	Remaining
415	3218	4920
416	3225	4911
417	3232	4903
418	3241	4896
419	3248	4888
420	3256	4881
421	3263	4871
422	3271	4865
423	3279	4857
424	3285	4847
425	3292	4838
426	3300	4830
427	3308	4824
428	3317	4817
429	3324	4809
430	3330	4799
431	3338	4790
432	3345	4782
433	3352	4774
434	3359	4764
435	3366	4756
436	3373	4747
437	3380	4739
438	3387	4729
439	3395	4722
440	3403	4715
441	3409	4706
442	3418	4699
443	3426	4691
444	3431	4680
445	3440	4674
446	3446	4665
447	3454	4657
448	3462	4649
449	3469	4640
450	3476	4633
451	3484	4625
452	3491	4616
453	3501	4612
454	3508	4603
455	3515	4594
456	3522	4586
457	3530	4578
458	3533	4565
459	3542	4558
460	3550	4551
461	3558	4543
462	3567	4537
463	3573	4529
464	3582	4522
465	3589	4513
466	3596	4505
467	3604	4498
468	3614	4492
469	3622	4485
470	3629	4476
471	3636	4468
472	3642	4458
473	3647	4448
474	3655	4440
475	3661	4430
476	3668	4422
477	3676	4415
478	3684	4408
479	3693	4401
480	3699	4391
481	3706	4382
482	3713	4374
483	3724	4370
484	3729	4359
485	3737	4352
486	3743	4343
487	3751	4335
488	3758	4327
489	3766	4320
490	3773	4311
491	3780	4302
492	3788	4295
493	3795	4287
494	3802	4278
495	3812	4273
496	3819	4265
497	3826	4257
498	3833	4248
499	3838	4237
500	3846	4230
501	3854	4223
502	3862	4215
503	3870	4208
504	3876	4199
505	3885	4192
506	3893	4184
507	3901	4177
508	3908	4169
509	3915	4161
510	3924	4154
511	3930	4145
512	3940	4140
513	3949	4134
514	3956	4125
515	3966	4120
516	3974	4113
517	3982	4105
518	3990	4098
519	3999	4091
520	4007	4084
521	4016	4077
522	4025	4071
523	4034	4064
524	4041	4057
525	4049	4049
526	4056	4040
527	4063	4032
528	4072	4025
529	4079	4018
530	4088	4011
531	4096	4003
532	4105	3997
533	4112	3989
534	4120	3981
535	4128	3974
536	4136	3967
537	4144	3960
538	4153	3953
539	4162	3946
540	4170	3939
541	4177	3930
542	4185	3923
543	4193	3915
544	4201	3908
545	4209	3900
546	4218	3894
547	4226	3887
548	4235	3880
549	4242	3872
550	4250	3864
551	4258	3856
552	4265	3849
553	4274	3841
554	4280	3833
555	4288	3825
556	4295	3817
557	4304	3810
558	4313	3803
559	4320	3796
560	4328	3788
561	4336	3781
562	4345	3774
563	4351	3764
564	4358	3756
565	4367	3749
566	4376	3743
567	4384	3735
568	4392	3728
569	4403	3723
570	4410	3715
571	4419	3708
572	4426	3700
573	4434	3693
574	4442	3685
575	4449	3677
576	4458	3670
577	4470	3665
578	4477	3657
579	4484	3649
580	4492	3642
581	4501	3635
582	4509	3627
583	4517	3620
584	4525	3612
585	4533	3604
586	4539	3595
587	4546	3587
588	4554	3580
589	4562	3572
590	4571	3565
591	4579	3558
592	4587	3550
593	4594	3542
594	4602	3534
595	4610	3527
596	4618	3520
597	4626	3512
598	4634	3505
599	4643	3498
600	4651	3490
601	4659	3483
602	4667	3475
603	4674	3467
604	4683	3460
605	4691	3453
606	4698	3444
607	4707	3437
608	4717	3431
609	4725	3423
610	4732	3415
611	4740	3408
612	4749	3401
613	4757	3393
614	4771	3390
615	4783	3386
616	4792	3378
617	4799	3370
618	4806	3362
619	4813	3353
620	4820	3345
621	4826	3336
622	4830	3326
623	4837	3318
624	4846	3310
625	4852	3302
626	4860	3294
627	4866	3285
628	4874	3278
629	4882	3270
630	4890	3262
631	4897	3254
632	4906	3247
633	4913	3239
634	4921	3231
635	4929	3224
636	4936	3215
637	4944	3208
638	4953	3201
639	4960	3193
640	4967	3185
641	4972	3175
642	4980	3167
643	4988	3160
644	4996	3152
645	5004	3145
646	5012	3137
647	5019	3129
648	5026	3121
649	5034	3113
650	5042	3105
651	5049	3097
652	5056	3089
653	5063	3081
654	5071	3073
655	5079	3066
656	5086	3058
657	5094	3050
658	5099	3041
659	5107	3033
660	5116	3026
661	5123	3018
662	5128	3008
663	5136	3001
664	5143	2993
665	5150	2985
666	5158	2977
667	5167	2970
668	5173	2961
669	5181	2954
670	5188	2946
671	5196	2938
672	5204	2930
673	5207	2920
674	5215	2913
675	5222	2904
676	5229	2896
677	5236	2888
678	5243	2880
679	5252	2873
680	5260	2865
681	5268	2858
682	5275	2850
683	5281	2841
684	5288	2833
685	5296	2825
686	5303	2817
687	5312	2810
688	5321	2803
689	5325	2793
690	5333	2786
691	5341	2778
692	5348	2770
693	5355	2762
694	5364	2755
695	5369	2746
696	5373	2736
697	5380	2728
698	5384	2719
699	5392	2711
700	5400	2704
701	5408	2696
702	5416	2689
703	5425	2682
704	5434	2674
705	5444	2668
706	5452	2660
707	5461	2653
708	5468	2645
709	5475	2637
710	5483	2629
711	5490	2621
712	5498	2614
713	5502	2604
714	5507	2596
715	5515	2588
716	5520	2579
717	5528	2571
718	5535	2563
719	5544	2556
720	5552	2549
721	5559	2541
722	5568	2534
723	5576	2526
724	5586	2519
725	5590	2510
726	5597	2502
727	5604	2494
728	5611	2486
729	5619	2478
730	5626	2470
731	5634	2462
732	5641	2455
733	5649	2447
734	5655	2439
735	5669	2434
736	5676	2426
737	5685	2419
738	5693	2411
739	5702	2404
740	5710	2396
741	5718	2388
742	5727	2382
743	5736	2374
744	5744	2367
745	5752	2359
746	5758	2351
747	5764	2342
748	5772	2335
749	5779	2327
750	5786	2319
751	5793	2311
752	5802	2304
753	5809	2295
754	5816	2288
755	5825	2280
756	5833	2273
757	5841	2265
758	5849	2257
759	5857	2250
760	5864	2242
761	5872	2235
762	5881	2227
763	5890	2220
764	5899	2213
765	5907	2205
766	5915	2197
767	5924	2190
768	5931	2182
769	5939	2175
770	5947	2167
771	5953	2159
772	5961	2151
773	5969	2144
774	5978	2136
775	5985	2128
776	5992	2121
777	6002	2113
778	6009	2106
779	6016	2098
780	6023	2090
781	6031	2082
782	6038	2074
783	6046	2066
784	6052	2058
785	6061	2051
786	6068	2043
787	6076	2035
788	6084	2028
789	6092	2020
790	6101	2013
791	6108	2005
792	6115	1997
793	6123	1989
794	6131	1982
795	6137	1973
796	6144	1965
797	6151	1958
798	6159	1950
799	6166	1942
800	6173	1934
801	6182	1927
802	6190	1919
803	6196	1911
804	6205	1904
805	6213	1896
806	6221	1888
807	6228	1880
808	6235	1873
809	6243	1865
810	6248	1856
811	6255	1848
812	6263	1841
813	6272	1834
814	6281	1826
815	6290	1819
816	6297	1811
817	6304	1803
818	6312	1795
819	6320	1788
820	6328	1780
821	6337	1773
822	6345	1765
823	6352	1757
824	6365	1751
825	6373	1743
826	6382	1736
827	6392	1729
828	6400	1721
829	6408	1714
830	6416	1706
831	6423	1698
832	6431	1690
833	6439	1683
834	6446	1675
835	6454	1667
836	6461	1659
837	6469	1652
838	6478	1644
839	6486	1637
840	6492	1628
841	6499	1621
842	6507	1613
843	6515	1605
844	6523	1597
845	6531	1590
846	6539	1582
847	6547	1575
848	6556	1567
849	6564	1560
850	6572	1552
851	6581	1544
852	6589	1537
853	6597	1529
854	6604	1521
855	6610	1513
856	6618	1506
857	6626	1498
858	6633	1490
859	6641	1482
860	6649	1474
861	6659	1467
862	6666	1460
863	6673	1452
864	6681	1444
865	6689	1436
866	6696	1428
867	6705	1421
868	6713	1413
869	6720	1405
870	6727	1398
871	6735	1390
872	6742	1382
873	6749	1374
874	6756	1366
875	6763	1358
876	6772	1351
877	6781	1343
878	6789	1336
879	6798	1328
880	6807	1321
881	6811	1312
882	6819	1305
883	6826	1297
884	6833	1289
885	6841	1281
886	6849	1274
887	6856	1266
888	6865	1258
889	6872	1250
890	6881	1243
891	6889	1235
892	6899	1228
893	6907	1220
894	6914	1212
895	6923	1205
896	6930	1197
897	6937	1189
898	6945	1182
899	6953	1174
900	6961	1166
901	6969	1158
902	6975	1151
903	6982	1143
904	6990	1135
905	6997	1127
906	7005	1119
907	7013	1112
908	7019	1104
909	7030	1097
910	7039	1089
911	7047	1081
912	7055	1074
913	7063	1066
914	7069	1058
915	7077	1050
916	7085	1043
917	7090	1034
